Sub-Category,Sales,Region,Order ID,Ship Mode,Customer ID,Customer Name,Segment,Country/Region,City,State,Product ID,Category,Product Name
Phones,5.5600000000000005,West,CA-2019-141929,Standard Class,RA-19285,Ralph Arnett,Consumer,United States,Los Angeles,California,TEC-PH-10002185,Technology,QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3
Phones,7.920000000000001,West,CA-2019-134915,Same Day,EM-14140,Eugene Moren,Home Office,United States,Glendale,Arizona,TEC-PH-10000347,Technology,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple
Phones,7.992000000000001,West,CA-2019-131807,Standard Class,GG-14650,Greg Guthrie,Corporate,United States,Chico,California,TEC-PH-10000702,Technology,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White"
Phones,7.992000000000001,West,CA-2019-168109,Same Day,JK-15640,Jim Kriz,Home Office,United States,Seattle,Washington,TEC-PH-10000702,Technology,"Square Credit Card Reader, 4 1/2"" x 4 1/2"" x 1"", White"
Phones,15.984000000000002,West,CA-2017-102316,Second Class,DH-13075,Dave Hallsten,Corporate,United States,Los Angeles,California,TEC-PH-10000376,Technology,Square Credit Card Reader
Phones,15.984000000000002,West,CA-2017-163440,First Class,RD-19900,Ruben Dartt,Consumer,United States,Thousand Oaks,California,TEC-PH-10000376,Technology,Square Credit Card Reader
Phones,15.991999999999999,West,CA-2016-138240,Standard Class,SJ-20500,Shirley Jackson,Consumer,United States,San Francisco,California,TEC-PH-10002583,Technology,iOttie HLCRIO102 Car Mount
Phones,15.991999999999999,West,CA-2018-157707,First Class,CC-12610,Corey Catlett,Corporate,United States,Denver,Colorado,TEC-PH-10002583,Technology,iOttie HLCRIO102 Car Mount
Phones,16.776000000000003,West,CA-2017-155124,Standard Class,KS-16300,Karen Seio,Corporate,United States,Lehi,Utah,TEC-PH-10003356,Technology,"SmartStand Mobile Device Holder, Assorted Colors"
Phones,17.52,West,US-2019-109316,First Class,MG-17680,Maureen Gastineau,Home Office,United States,Los Angeles,California,TEC-PH-10000307,Technology,Shocksock Galaxy S4 Armband
Phones,19.8,West,CA-2017-103716,Standard Class,KB-16585,Ken Black,Corporate,United States,San Francisco,California,TEC-PH-10000347,Technology,Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple
Phones,20.784000000000002,West,US-2018-139087,Second Class,DK-13375,Dennis Kane,Consumer,United States,Seattle,Washington,TEC-PH-10000148,Technology,Cyber Acoustics AC-202b Speech Recognition Stereo Headset
Phones,22,West,US-2019-140312,Standard Class,KL-16645,Ken Lonsdale,Consumer,United States,Dublin,California,TEC-PH-10003442,Technology,Samsung Replacement EH64AVFWE Premium Headset
Phones,23.976000000000003,West,CA-2016-152345,Second Class,ST-20530,Shui Tom,Consumer,United States,Albuquerque,New Mexico,TEC-PH-10004897,Technology,Mediabridge Sport Armband iPhone 5s
Phones,28.68,West,CA-2018-145261,First Class,AH-10120,Adrian Hane,Home Office,United States,Salem,Oregon,TEC-PH-10004833,Technology,Macally Suction Cup Mount
Phones,28.784,West,CA-2016-141838,Second Class,DK-12835,Damala Kotsonis,Corporate,United States,San Francisco,California,TEC-PH-10004100,Technology,Griffin GC17055 Auxiliary Audio Cable
Phones,29.592000000000002,West,CA-2019-102414,Second Class,JA-15970,Joseph Airdo,Consumer,United States,Phoenix,Arizona,TEC-PH-10002923,Technology,"Logitech B530 USB Headset - headset - Full size, Binaural"
Phones,31.176000000000002,West,CA-2019-156958,First Class,PB-18805,Patrick Bzostek,Home Office,United States,Seattle,Washington,TEC-PH-10000148,Technology,Cyber Acoustics AC-202b Speech Recognition Stereo Headset
Phones,31.968000000000004,West,CA-2019-121468,First Class,KD-16345,Katherine Ducich,Consumer,United States,Westminster,California,TEC-PH-10000376,Technology,Square Credit Card Reader
Phones,31.983999999999998,West,CA-2019-135909,Standard Class,JW-15220,Jane Waco,Corporate,United States,Sacramento,California,TEC-PH-10003187,Technology,Anker Astro Mini 3000mAh Ultra-Compact Portable Charger
Phones,31.983999999999998,West,US-2018-126452,Standard Class,SC-20230,Scot Coram,Corporate,United States,Los Angeles,California,TEC-PH-10003187,Technology,Anker Astro Mini 3000mAh Ultra-Compact Portable Charger
Phones,33.52,West,CA-2018-100468,Standard Class,AT-10435,Alyssa Tate,Home Office,United States,Los Angeles,California,TEC-PH-10001300,Technology,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4"
Phones,35.12,West,CA-2017-147816,Second Class,CM-11935,Carlos Meador,Consumer,United States,Tucson,Arizona,TEC-PH-10003095,Technology,Samsung HM1900 Bluetooth Headset
Phones,35.168,West,CA-2019-126067,Standard Class,KN-16705,Kristina Nunn,Home Office,United States,Seattle,Washington,TEC-PH-10000912,Technology,Anker 24W Portable Micro USB Car Charger
Phones,35.984,West,CA-2018-157217,First Class,TC-21535,Tracy Collins,Home Office,United States,San Francisco,California,TEC-PH-10002070,Technology,Griffin GC36547 PowerJolt SE Lightning Charger
Phones,36.784,West,CA-2017-129546,Standard Class,RP-19855,Roy Phan,Corporate,United States,Los Angeles,California,TEC-PH-10003555,Technology,Motorola HK250 Universal Bluetooth Headset
Phones,38.24,West,CA-2018-130680,Standard Class,BD-11320,Bill Donatelli,Consumer,United States,San Diego,California,TEC-PH-10004833,Technology,Macally Suction Cup Mount
Phones,39.96000000000001,West,CA-2019-161459,Second Class,EB-13750,Edward Becker,Corporate,United States,Laguna Niguel,California,TEC-PH-10004071,Technology,PayAnywhere Card Reader
Phones,39.96000000000001,West,US-2018-115819,Second Class,JO-15280,Jas O'Carroll,Consumer,United States,Los Angeles,California,TEC-PH-10004700,Technology,PowerGen Dual USB Car Charger
Phones,39.992000000000004,West,CA-2019-102379,Standard Class,BB-11545,Brenda Bowman,Corporate,United States,Oakland,California,TEC-PH-10001448,Technology,Anker Astro 15000mAh USB Portable Charger
Phones,43.176,West,CA-2017-121188,Standard Class,CB-12025,Cassandra Brandow,Consumer,United States,Los Angeles,California,TEC-PH-10003589,Technology,invisibleSHIELD by ZAGG Smudge-Free Screen Protector
Phones,43.176,West,CA-2019-101182,First Class,KB-16405,Katrina Bavinger,Home Office,United States,Apple Valley,California,TEC-PH-10003589,Technology,invisibleSHIELD by ZAGG Smudge-Free Screen Protector
